hierarchy,m,n,k,bound,cycles,cube_util,gm_util,a_reload,b_reload,l0a_over_l1,l0b_over_l1,l1_working_bytes,l0a_working_bytes,l0b_working_bytes,intensity,notes
L1-only/sharedL1,1024,1024,1024,mte1,861320.0,0.3043514605489249,0.28176287558630936,64.0,64.0,0.0,0.0,262144,0,0,512.0,"split=A blockNum=1 per-core (1024,1024,1024); tile m=64 n=64 k1=1024 m0=16 n0=16 k0=1024 stat=A"
L1-only,1024,1024,1024,mte1,861320.0,0.3043514605489249,0.18784191705753958,64.0,64.0,0.0,0.0,262144,0,0,512.0,"split=A blockNum=1 per-core (1024,1024,1024); tile m=64 n=64 k1=1024 m0=16 n0=16 k0=1024 stat=A"
L0A,1024,1024,1024,mte1,532680.0,0.4921228504918525,0.24966584065480213,1.0,1.0,0.125,0.0,262144,32768,0,512.0,"split=A blockNum=1 per-core (1024,1024,1024); tile m=1024 n=1024 k1=64 m0=1024 n0=16 k0=16 stat=A"
L0B,1024,1024,1024,cube,270474.0,0.969202215370054,0.4916997567233819,2.0,1.0,0.0,0.125,262144,0,32768,512.0,"split=A blockNum=1 per-core (1024,1024,1024); tile m=1024 n=1024 k1=64 m0=16 n0=512 k0=32 stat=B"
L0A+L0B,1024,1024,1024,cube,270476.0,0.9691950487289076,0.4916961209127612,2.0,1.0,0.0078125,0.125,262144,2048,32768,512.0,"split=A blockNum=1 per-core (1024,1024,1024); tile m=1024 n=1024 k1=64 m0=32 n0=512 k0=32 stat=B"
L1-only/sharedL1,32,1024,1024,mte1,165224.0,0.049581174647750935,0.6244613373359802,64.0,2.0,0.0,0.0,236544,0,0,31.03030303030303,"split=A blockNum=32 per-core (32,1024,1024); tile m=32 n=1024 k1=112 m0=16 n0=16 k0=16 stat=A"
L1-only,32,1024,1024,mte1,165224.0,0.049581174647750935,0.41630755822398685,64.0,2.0,0.0,0.0,236544,0,0,31.03030303030303,"split=A blockNum=32 per-core (32,1024,1024); tile m=32 n=1024 k1=112 m0=16 n0=16 k0=16 stat=A"
L0A,32,1024,1024,mte1,81258.0,0.10081468901523542,0.8464889610869084,1.0,1.0,0.004329004329004329,0.0,236544,1024,0,31.03030303030303,"split=A blockNum=32 per-core (32,1024,1024); tile m=32 n=1024 k1=112 m0=32 n0=16 k0=16 stat=A"
L0B,32,1024,1024,gm,76313.0,0.10734737200739061,0.9013405317573677,1.0,1.0,0.0,0.13852813852813853,236544,0,32768,31.03030303030303,"split=A blockNum=32 per-core (32,1024,1024); tile m=32 n=1024 k1=112 m0=16 n0=1024 k0=16 stat=B"
L0A+L0B,32,1024,1024,gm,76313.0,0.10734737200739061,0.9013405317573677,1.0,1.0,0.0021645021645021645,0.13852813852813853,236544,512,32768,31.03030303030303,"split=A blockNum=32 per-core (32,1024,1024); tile m=32 n=1024 k1=112 m0=16 n0=1024 k0=16 stat=B"
L1-only/sharedL1,1024,32,1024,mte1,228712.0,0.03581797194725244,0.45111756269894016,2.0,64.0,0.0,0.0,236544,0,0,31.03030303030303,"split=B blockNum=32 per-core (1024,32,1024); tile m=1024 n=32 k1=112 m0=16 n0=16 k0=16 stat=A"
L1-only,1024,32,1024,mte1,228712.0,0.03581797194725244,0.30074504179929346,2.0,64.0,0.0,0.0,236544,0,0,31.03030303030303,"split=B blockNum=32 per-core (1024,32,1024); tile m=1024 n=32 k1=112 m0=16 n0=16 k0=16 stat=A"
L0A,1024,32,1024,gm,76376.0,0.10725882476170524,0.9005970461925212,1.0,1.0,0.13852813852813853,0.0,236544,32768,0,31.03030303030303,"split=B blockNum=32 per-core (1024,32,1024); tile m=1024 n=32 k1=112 m0=1024 n0=16 k0=16 stat=A"
L0B,1024,32,1024,mte1,77161.0,0.10616762354038957,0.8914347921877632,1.0,1.0,0.0,0.004329004329004329,236544,0,1024,31.03030303030303,"split=B blockNum=32 per-core (1024,32,1024); tile m=1024 n=32 k1=112 m0=16 n0=32 k0=16 stat=B"
L0A+L0B,1024,32,1024,gm,76344.0,0.10730378287750184,0.9009745363093367,1.0,2.0,0.06926406926406926,0.004329004329004329,236544,16384,1024,31.03030303030303,"split=B blockNum=32 per-core (1024,32,1024); tile m=1024 n=32 k1=112 m0=512 n0=32 k0=16 stat=A"
L1-only/sharedL1,256,128,1024,mte1,180232.0,0.04545252785298948,0.20853122641928182,8.0,16.0,0.0,0.0,258048,0,0,85.33333333333333,"split=2D blockNum=32 per-core (256,128,1024); tile m=256 n=128 k1=336 m0=16 n0=16 k0=16 stat=A"
L1-only,256,128,1024,mte1,180232.0,0.04545252785298948,0.13902081761285454,8.0,16.0,0.0,0.0,258048,0,0,85.33333333333333,"split=2D blockNum=32 per-core (256,128,1024); tile m=256 n=128 k1=336 m0=16 n0=16 k0=16 stat=A"
L0A,256,128,1024,gm,33272.0,0.24621303197884106,0.7530656407790334,1.0,1.0,0.031746031746031744,0.0,258048,8192,0,85.33333333333333,"split=2D blockNum=32 per-core (256,128,1024); tile m=256 n=128 k1=336 m0=256 n0=16 k0=16 stat=A"
L0B,256,128,1024,gm,33257.0,0.24632408214811918,0.7534052981327239,1.0,1.0,0.0,0.015873015873015872,258048,0,4096,85.33333333333333,"split=2D blockNum=32 per-core (256,128,1024); tile m=256 n=128 k1=336 m0=16 n0=128 k0=16 stat=B"
L0A+L0B,256,128,1024,gm,33264.0,0.24627224627224628,0.7532467532467533,1.0,1.0,0.015873015873015872,0.015873015873015872,258048,4096,4096,85.33333333333333,"split=2D blockNum=32 per-core (256,128,1024); tile m=256 n=128 k1=336 m0=128 n0=128 k0=16 stat=B"
L1-only/sharedL1,16,512,4096,gm,214048.0,0.03827178950515772,0.962363582000299,32.0,1.0,0.0,0.0,253440,0,0,15.515151515151516,"split=B blockNum=8 per-core (16,512,4096); tile m=16 n=512 k1=240 m0=16 n0=16 k0=16 stat=A"
L1-only,16,512,4096,mte1,167800.0,0.048820023837902266,0.8184028605482717,32.0,1.0,0.0,0.0,253440,0,0,15.515151515151516,"split=B blockNum=8 per-core (16,512,4096); tile m=16 n=512 k1=240 m0=16 n0=16 k0=16 stat=A"
